ref,title,author,lastRunTime,totalVotes
renendoh/triagegeist-a-triage-second-opinion-system,TRIAGEGEIST: A Triage Second-Opinion System,REN ENDOH,2026-06-15 08:14:32,3
harishk2209/triagegeist-v2-polished,triagegeist-v2-polished,Harish K,2026-06-15 07:21:42.883000,3
parthharischandre/notebook282507e06f,notebook282507e06f,Parth Harischandre,2026-06-16 03:20:16.507000,1
msama01/triage-acuity-prediction-pipeline,Triage Acuity Prediction Pipeline,Maram Ali,2026-06-06 13:15:48.387000,5
fairlanderflick/triagegeist-ed-triage-toolkit,Triagegeist ED Triage Toolkit,Ugur Tasdan,2026-06-05 12:33:33,3
rumblingb/triagegeist-hgb-ensemble-v4-patient-history,Triagegeist HGB ensemble v4 patient history,rumbling_b,2026-06-01 18:24:04.813000,2
konichiwasepogaichi/triagegeist-safety-first-esi-triage,Triagegeist Safety-First ESI Triage,konichiwasepogaichi,2026-06-13 18:11:19.297000,1
rtsdque/triagegeist-acuity-prediction-demographic-bias,Triagegeist: Acuity Prediction & Demographic Bias ,Sadat Tarique,2026-06-01 21:48:41.037000,2
vunnguyen/clinically-grounded-triage-acuity-prediction,Clinically Grounded Triage Acuity Prediction,Vân Nguyễn,2026-06-03 06:52:09,1
vishys2487/submission,Submission ,Vishys,2026-06-06 09:05:45,0
sampathbharath/triagegeist-pediatric-undertriage-audit,Triagegeist: Pediatric Undertriage Audit,sampath bharath,2026-06-05 11:04:37,0
dylpickle13/safety-first-triage-acuity-prediction,Safety-First Triage Acuity Prediction,Dylan,2026-05-31 04:54:11,1
sayan1507/notebook28a7e8a1c7,notebook28a7e8a1c7,Sayan Dutta,2026-06-07 17:18:25,0
kkhandekar/triagegeist-predicting-ed-acuity-with-catboost,TriageGeist: Predicting ED Acuity with CatBoost,koustubhk,2026-05-29 04:20:42.403000,3
sriyanbodlan/triagegeist-clinical-ai-pipeline,Triagegeist-Clinical-AI-Pipeline,Sriyan Bodla,2026-04-17 03:14:58,1
mishashikhov/safetriage-explainable-esi-triage-guardrails,SafeTriage: Explainable ESI Triage Guardrails,Misha Shikhov,2026-05-10 12:05:22,6
monkeydlundy/patient-history,patient_history,MonkeyD Lundy,2026-03-17 16:09:23.793000,6
adityaguptaaaa/notebook459bc67330,notebook459bc67330,Aditya Guptaaaa,2026-04-05 19:42:18.973000,0
vk2245/triage-vk,triage_vk,VISHAL KUMAR,2026-04-18 18:44:17.973000,2
minalkharat123/triagegeist-esi-prediction-with-explainability-f,"Triagegeist: ESI Prediction with Explainability, F",Minal kharat123,2026-04-20 03:39:10,2
udaken10/no-no-no-more-leak,"No, No, no more leak",really?,2026-03-14 13:47:32.097000,11
noriohama/notebook540510b860,notebook540510b860,Norio Hama,2026-04-01 06:48:15.253000,0
architkonde/triagegeist-v1,Triagegeist_V1,Archit Konde,2026-03-18 04:52:38.893000,7
cherishchenchersih/notebookdd8f01410f,notebookdd8f01410f,CherishC,2026-04-01 13:23:05.907000,0
satyasaikumarm/triagegeist-final-one,Triagegeist Final one,Satya sai kumar M,2026-03-16 13:01:12,6
abhishekgupta56447/triage-acuity-prediction-with-stacked,Triage Acuity Prediction with Stacked ,Abhishek Gupta,2026-03-18 06:10:07.217000,5
bnzn261029/copy-of-triagegeist-kaggle-competition,Copy of triagegeist-kaggle-competition,bsenst,2026-04-12 21:17:20.713000,1
vaishnavidesai345/triagegeist-chief-complaint-risk-nlp-system,Triagegeist - Chief Complaint Risk NLP System,vaishnavi desai,2026-03-08 05:46:57,3
yashpalthakor/multimodal-ordinal-deep-learning-emergency-acuity,Multimodal Ordinal Deep Learning Emergency Acuity,Yashpalsinh Thakor,2026-03-03 21:43:44,3
tayyabaniazi/rapid-triage-ai-powered-triage-prediction,RAPID-TRIAGE:AI-Powered Triage Prediction,Tayyaba Niazi,2026-04-22 19:58:28.253000,0
manjitbaishya001/triage-prediction,Triage Prediction,Manjit Baishya,2026-04-13 18:19:51,1
hudax18/triagegeist-esi-prediction-and-analysis,Triagegeist: ESI Prediction and Analysis,hudax18,2026-04-20 21:18:59.023000,1
plarmuseau/simpl,simpl,Paul Larmuseau,2026-03-02 21:47:11.697000,15
jamesmugabo/notebook6520e0cf65,notebook6520e0cf65,James Mugabo,2026-05-20 12:23:13,1
kushagrasrivastava21/triage-acuity-project,Triage Acuity Project,Kushagra Srivastava,2026-04-03 17:02:50.747000,2
sardorrazikov/triageguardian-multimodal-clinical-triage,TriageGuardian Multimodal Clinical Triage,Sardor Razikov,2026-05-29 11:32:04,0
praveenkumar1818/emergency-requirment,Emergency Requirment,Praveen Kumar Mohan,2026-04-19 09:44:15,3
edonisraci/three-stage-pipeline-for-better-esi-score,Three Stage Pipeline for better ESI score,Don,2026-04-06 07:14:32.737000,1
kuranashi/triage,triage,ARJUN A S,2026-05-20 07:05:19.683000,0
sirteo/triagegeist-template-aware-safety-triage,Triagegeist Template-Aware Safety Triage,Master Teo,2026-05-12 21:37:02.293000,1
valentinemwai/predicting-esi-triage-acuity,Predicting ESI Triage Acuity,valentine mwai,2026-05-20 19:03:30.937000,1
noahmoussa/triagegeist,triagegeist,NoahMoussa,2026-04-17 13:35:20.563000,0
vittalmukunda/triagegeist,triagegeist,Vittal Mukunda,2026-05-09 16:27:33.247000,2
ashokpukkalla/triagegeist-multi-modal-undertriage-detection,Triagegeist: Multi-Modal Undertriage Detection,ashok pukkalla,2026-05-13 09:59:04.617000,2
muhammadusamazaman/triagegeist,Triagegeist,Muhammad usama zaman,2026-03-15 11:14:20,0
shivrajrajasekaran/triage,Triage,Shivraj Rajasekaran,2026-04-15 14:56:36.733000,0
ashsihkumar/acuitylens,AcuityLens,Ashish Mishra,2026-04-01 15:47:58,0
ehdgk0725/apparent-stability-is-not-safety,Apparent Stability Is Not Safety,DONGHA,2026-04-17 09:25:05.847000,1
harshjagda/triagecomp,TriageComp,Harsh Jagda,2026-02-27 19:27:51.417000,6
uzbtrust/triagegeits-final-ipynb,triagegeits_final.ipynb,Abdurakhmonov Dostonbek,2026-04-20 03:52:35.427000,7
hugometa/triagegeist-ai-triage-solution,Triagegeist-AI-Triage-Solution,HugoMeta,2026-03-26 23:13:02,1
rahulsingh000/triagegeist-baseline,triagegeist_baseline,Rahul singh000,2026-04-17 10:33:42,0
monsurhabib/triagegeist,Triagegeist,Monsur Habib,2026-04-21 21:06:52.313000,4
janetanand/xgboost-esi-v5-features-for-triage-acuity,XGBoost + ESI v5 Features for Triage Acuity,Janet Anand,2026-04-14 05:40:15,2
cherishchenchersih/triagegeist-ai-assisted-emergency-triage-v3,Triagegeist: AI-Assisted Emergency Triage V3,CherishC,2026-04-05 18:31:16.003000,2
nameditor/predicting-emergency-triage-acuity,Predicting Emergency Triage Acuity,Nam Do,2026-03-11 04:53:16,8
uditjain13/triagegeist-dual-track-emergency-triage-ai,TRIAGEGEIST: Dual-Track Emergency Triage AI,Udit Jain,2026-04-27 12:15:19.367000,3
merkiraz/notebook7e94f619c2,notebook7e94f619c2,ömer kiraz,2026-04-11 18:21:56,0
avikdas567/multi-modal-ed-triage-lgbm-catboost-nlp,"Multi-Modal ED Triage | LGBM, CatBoost & NLP",Avik Das,2026-04-13 08:35:05.547000,3
hrdevelops/triagegeist-dev,triagegeist_dev,HRDevelops,2026-04-20 21:58:10,1
ameythakur20/triagegeist-cdss-multi-tier-acuity-forecasting,Triagegeist CDSS Multi Tier Acuity Forecasting,Amey Thakur,2026-03-25 20:46:42.083000,4
harshjagda/triage-comp-final,triage_comp_final,Harsh Jagda,2026-03-11 17:32:56.973000,1
aleksejdvojnev/triagegeist,triagegeist,Aleksej Dvojnev,2026-03-04 07:10:47.557000,4
dhruvjain35/triagegeist-clinical-ai-pipeline,Triagegeist-Clinical-AI-Pipeline,Dhruv Jain,2026-04-12 18:40:27.683000,5
brentl/notebook-triage-decision-support-system,notebook - Triage Decision Support System,BrentL,2026-05-14 00:29:36,4
amermandour/eda-emergency-triage,EDA_Emergency_Triage,Amer Mandour,2026-04-30 20:49:39.423000,2
kimseunghwan9823/gb-ensembles-triagegeist,GB Ensembles Triagegeist,"Seunghwan Kim, MD",2026-03-17 16:05:41.917000,7
angelchanjx/triagegeistv1,triagegeistv1,AngelChanJX,2026-04-07 07:45:24,1
jasonkarpeles/triagegeistmodel,TriagegeistModel,Jason Karpeles,2026-02-23 17:35:49.023000,15
ayahkhedr/triagegeist,Triagegeist,Ayah_Khedr,2026-05-16 22:03:44,2
ladyfaye/triagegeist-triage-acuity-prediction,Triagegeist: Triage Acuity Prediction,Danielle Lesin,2026-04-01 13:17:33.113000,0
grifth/triagegeist-ensemble-final,Triagegeist-Ensemble-Final,grifth,2026-03-05 05:48:58.797000,11
ssstelmah/second-look-triage-safety-net,Second Look — triage safety net,Артём Свинобоев,2026-06-14 02:28:54.407000,0
guozhaojie/triagegeist-linear-decision-support,Triagegeist Linear Decision Support,guozhaojie,2026-05-10 03:55:31,0
yufotest/triagegeist-clinical-ai-gb-ensemble,Triagegeist Clinical AI GB Ensemble,Yufo,2026-05-01 01:28:53,0
monsurhabib/triagegeist-baseline-1e2c74,triagegeist_baseline 1e2c74,Monsur Habib,2026-04-21 22:01:27,0
nehash0123gmailcom/triagegeist,Triagegeist ,NEHA SHARMA,2026-04-20 11:32:32.057000,0
dhruvjain35/triagegeist-clinical-ai-pipeline-9a9e3c,Triagegeist-Clinical-AI-Pipeline 9a9e3c,Dhruv Jain,2026-04-17 02:46:02,0
camilacosentinoyanes/notebook4127a2a5c3,notebook4127a2a5c3,Camila Cosentino Yanes,2026-04-20 01:51:06.037000,0
minhazularefin/triageguard,TriageGuard,Minhazul Arefin,2026-04-10 02:10:13.167000,0
nishita02/triagegeist,Triagegeist,NISHITA JAIN,2026-04-15 23:57:42,2
dataset69420/trigagies-competition-final,Trigagies_Competition_Final,HeroVoltsy,2026-04-21 23:47:19.377000,0
rahulchauhan016/emergency-department-triage-risk-prediction,🏥 Emergency Department Triage Risk Prediction,RAHUL CHAUHAN,2026-04-25 06:40:14.027000,5
grifth/triagegeist-enhanced-emergency-triage-ai,Triagegeist: Enhanced Emergency Triage AI,grifth,2026-03-27 08:09:30.397000,0
harshalpawar1208/notebookcee1b928b4,notebookcee1b928b4,Harshal Pawar,2026-03-10 14:55:35.293000,0
andrewmatelis/clinical-pipeline-for-esi-triage-acuity-prediction,Clinical Pipeline for ESI Triage Acuity Prediction,Andrew Matelis,2026-03-11 11:29:11,1
rebelgrath/02-train-data-understanding,02_train_data_understanding,Ibtesham Akhtar,2026-03-06 20:20:51,0
rebelgrath/01-train-data-understanding,01_train_data_understanding,Ibtesham Akhtar,2026-03-06 20:17:00,0
rebelgrath/02-patient-data-understanding,02_Patient_data_understanding,Ibtesham Akhtar,2026-03-05 21:50:02.463000,0
rebelgrath/01-patient-data-understanding,01_Patient_Data_Understanding,Ibtesham Akhtar,2026-03-05 21:50:47,0
sancoisaacs/triagegeist-dual-model-clinical-audit-system,TRIAGEGEIST — DUAL MODEL CLINICAL AUDIT SYSTEM,Sanco Isaacs,2026-02-28 20:18:12.987000,2
